관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
7e621de807be4332d9e80919d122302e,올리버다이너,전문음식,부산광역시,영도구,96.0,90.0,영도구_현지인외지인맛집_최종.csv,부산광역시,영도구,
7e64235a9f9536a2962e90a1c1f3f3a3,로타리식당,한식,전라남도,여수시,54.0,29.0,여수시_현지인외지인맛집_최종.csv,전라남도,여수시,
7e706385b4970291194d2bf3253ea8b2,백학정,한식,전북특별자치도,정읍시,44.0,16.0,정읍시_현지인외지인맛집_최종.csv,전북특별자치도,정읍시,
7e723287f7dd27e34cd1013961198986,남평507,카페/찻집,전라남도,나주시,65.0,47.0,나주시_현지인외지인맛집_최종.csv,전라남도,나주시,
7e75b239316b0d18e1825f9032ada152,외양간한우,한식,경기도,의정부시,73.0,73.0,의정부시_현지인외지인맛집_최종.csv,경기도,의정부시,
7e7652b88cfb6947c45fb7baac66e893,남촌한방백숙,한식,충청남도,서천군,86.0,,서천군_현지인외지인맛집_최종.csv,충청남도,서천군,
7e79bc080c28a49b5b7ee91f111ee8ff,엠클리프,카페/찻집,인천광역시,영종구,18.0,11.0,영종구_현지인외지인맛집_최종.csv,인천광역시,영종구,
7e7b75eabbebaed34e9ac4e59d5d2759,다이닝원제천점,전문음식,충청북도,제천시,54.0,57.0,제천시_현지인외지인맛집_최종.csv,충청북도,제천시,
7e7d039ce711e2b19e0a69920a506feb,흥부골숯불갈비,한식,경기도,김포시,51.0,50.0,김포시_현지인외지인맛집_최종.csv,경기도,김포시,
7e80ce739bd889504cf6291c673d52b1,샤브20연산점,전문음식,부산광역시,연제구,21.0,21.0,연제구_현지인외지인맛집_최종.csv,부산광역시,연제구,
7e8387a138e4597aa85856af2ceee84e,엘올리보,외국식,경기도,과천시,60.0,39.0,과천시_현지인외지인맛집_최종.csv,경기도,과천시,
7e83cf902202fca71282b47f4072a192,샤브20가야점,전문음식,부산광역시,부산진구,19.0,34.0,부산진구_현지인외지인맛집_최종.csv,부산광역시,부산진구,
7e84628ca1ec488ec9f248184f7cbd36,라림정[한식],한식,전라남도,함평군,86.0,,함평군_현지인외지인맛집_최종.csv,전라남도,함평군,
