시도,시군구,데이터개월수,시작년월,종료년월,데이터구분,신뢰도,최근월방문자수,최근3개월평균방문자수,직전3개월평균방문자수,최근3개월증가율,월평균추세기울기,상대추세기울기,최근3개월전년대비증감률,최근증가점수,장기추세점수,전년대비성장점수,로컬발견가능성,최근월증가율,최근월전년대비증감률,단기증가점수,단기전년대비점수,단기임시점수
대구광역시,서구,12,202509,202608,12개월,높음,1876914.0,1871068.6666666667,1924351.3333333333,-2.7688637591125866,-9546.283216783171,-0.4974007578171846,-1.7,28.222563015981528,26.460566232549027,19.56726246472248,25.1,,,,,
대구광역시,수성구,12,202509,202608,12개월,높음,4377370.0,4332250.0,4482993.666666667,-3.362567022735781,-11375.143356643299,-0.25819792242330203,-3.4666666666666663,27.51010996401006,29.825773362351825,14.581373471307616,24.33,,,,,
대구광역시,중구,12,202509,202608,12개월,높음,5988000.0,5937125.0,6282720.666666667,-5.500732644381987,18078.762237762294,0.30222965193614293,3.5,24.944278316958293,37.71010661394977,34.24270931326434,31.56,,,,,
대전광역시,대덕구,2,202607,202608,2개월,낮음,2383780.0,,,,,,,,,,,4.484939017067156,2.5,32.987186409391974,84.15435139573071,58.57
대전광역시,동구,2,202607,202608,2개월,낮음,3681433.0,,,,,,,,,,,3.3556453451352475,-2.8,30.22639845443274,79.80295566502463,55.01
대전광역시,서구,2,202607,202608,2개월,낮음,5630800.0,,,,,,,,,,,3.057254172447943,-0.4,29.496920572907037,81.77339901477832,55.64
대전광역시,유성구,2,202607,202608,2개월,낮음,5464554.0,,,,,,,,,,,3.36969191615192,3.6,30.26073815280807,85.0574712643678,57.66
대전광역시,중구,2,202607,202608,2개월,낮음,4380747.0,,,,,,,,,,,1.6039790425341927,-2.7,25.94409408177479,79.88505747126436,52.91
부산광역시,강서구,12,202509,202608,12개월,높음,3832090.0,3729417.6666666665,3830390.6666666665,-2.636101870200881,-17082.39510489508,-0.44798302758868364,0.39999999999999997,28.38187932555242,27.155795859864206,25.493885230479773,27.15,,,,,
부산광역시,금정구,12,202509,202608,12개월,높음,2485662.0,2462910.3333333335,2774555.0,-11.232239644435468,-19612.881118880967,-0.750369194321509,-0.20000000000000004,18.06638172318857,22.901698777079087,23.800564440263404,21.24,,,,,
부산광역시,기장군,12,202509,202608,12개월,높음,3806236.0,3555316.6666666665,3593368.3333333335,-1.058941448158445,4820.625874125918,0.13529837238879222,-0.5666666666666668,30.2744961005983,35.361646441248084,22.765757290686732,29.55,,,,,
부산광역시,남구,12,202509,202608,12개월,높음,2757646.0,2694652.3333333335,2853366.6666666665,-5.562353243536864,-15541.398601398512,-0.5596377134530529,0.9666666666666667,24.870332649783947,25.584990295089206,27.0931326434619,25.75,,,,,
부산광역시,동구,12,202509,202608,12개월,높음,3385330.0,3308852.3333333335,3203274.6666666665,3.2959292490684633,8636.870629370627,0.26737693644720406,-5.833333333333333,35.50040794795102,37.21978380292106,7.902163687676386,27.74,,,,,
부산광역시,동래구,12,202509,202608,12개월,높음,3647581.0,3562303.3333333335,3638171.6666666665,-2.0853423170887493,4622.566433566533,0.1293279830416973,-2.6333333333333333,29.042799264113206,35.27765246698997,16.933207902163687,27.28,,,,,
부산광역시,부산진구,12,202509,202608,12개월,높음,6288244.0,6136584.0,6342265.333333333,-3.2430263087910283,-48150.60139860128,-0.7524926127366045,-4.566666666666666,27.653560660179455,22.871825624537784,11.47695202257761,21.37,,,,,
부산광역시,북구,12,202509,202608,12개월,높음,2035110.0,2024617.0,2155907.0,-6.089780310560706,-12722.314685314595,-0.6009910147396114,-4.166666666666667,24.237412053558316,25.003214480846626,12.605832549388518,20.98,,,,,
부산광역시,사상구,12,202509,202608,12개월,높음,2470836.0,2410303.0,2566852.0,-6.098871302279991,-19610.68181818185,-0.7848511184929642,0.8000000000000002,24.22650272360731,22.416592415860478,26.622765757290683,24.4,,,,,
부산광역시,사하구,12,202509,202608,12개월,높음,2160648.0,2082526.6666666667,2139856.0,-2.679121087275651,-11682.629370629338,-0.5492138264785282,-1.9333333333333333,28.33025560310343,25.73163796633929,18.90874882408278,24.72,,,,,
부산광역시,서구,12,202509,202608,12개월,높음,1888358.0,1836323.6666666667,1833212.6666666667,0.16970207857317154,-2348.9999999999573,-0.12870454772505757,1.0,31.74888723845885,31.647541181613654,27.187206020696138,30.35,,,,,
부산광역시,수영구,12,202509,202608,12개월,높음,3953106.0,3728435.3333333335,3477506.6666666665,7.215763784780675,16991.43006993009,0.47546460251797595,1.1000000000000003,40.204269707356424,40.14724950930497,27.469426152398867,36.37,,,,,
